,price,barrio,superficie_construida,n_habitaciones,n_baños,lujo,dist_metro,piscina,planta_edificio,prediccion_modelo,gap,garaje,terraza,es_chalet,zonas_verdes,es_exterior
4744,375000,Palacio,68,2,1,No,Yes,No,4,589194,214194,No,No,No,No,Yes
5472,398000,Hispanoamérica,87,2,1,No,Yes,No,4,611045,213045,Yes,No,No,No,No
10747,565000,Corralejos,105,3,2,Yes,No,Yes,3,777614,212614,Yes,Yes,No,No,Yes
6039,219000,Comillas,73,2,1,No,Yes,No,1,430169,211169,No,No,No,No,No
2050,289900,Imperial,61,1,1,No,Yes,No,2,499086,209186,No,Yes,No,No,No
4491,574000,Embajadores,138,5,2,No,Yes,No,1,778877,204877,No,No,No,No,No
4253,410000,Cortes,77,3,2,No,Yes,No,5,613353,203353,No,No,No,No,Yes
4046,650000,Trafalgar,128,3,3,Yes,Yes,No,1,852607,202607,No,Yes,No,No,Yes
4721,298000,Sol,40,1,1,No,Yes,No,3,498523,200523,No,No,No,No,Yes
1317,560000,Justicia,60,1,1,Yes,Yes,No,5,759515,199515,No,No,No,No,Yes
11422,315000,La Chopera,73,2,1,No,Yes,No,3,512695,197695,No,Yes,No,No,Yes
5778,204000,Pueblo Nuevo,80,2,1,No,Yes,No,3,396396,192396,No,Yes,No,No,Yes
11866,310000,Valdefuentes,131,2,1,No,No,Yes,10,497595,187595,Yes,Yes,No,No,No
4362,650000,Palacio,142,4,2,Yes,Yes,No,4,837566,187566,No,No,No,No,Yes
4573,415000,Embajadores,91,3,1,No,Yes,No,1,601458,186458,No,No,No,No,Yes
5110,221000,Universidad,50,1,1,No,Yes,No,0,405253,184253,No,No,No,No,Yes
11902,282500,Valdefuentes,43,1,1,No,Yes,Yes,16,466598,184098,Yes,No,No,No,Yes
3489,310000,Fuente del Berro,63,2,1,No,Yes,No,0,492807,182807,No,No,No,No,Yes
2164,669000,Palacio,212,3,2,No,Yes,No,1,851625,182625,No,No,No,No,Yes
3712,210000,Almagro,51,2,1,No,Yes,No,2,391585,181585,No,No,No,No,No
6794,199000,Canillejas,101,3,1,No,Yes,No,4,380241,181241,No,Yes,No,No,No
11074,228000,Colina,43,0,1,No,Yes,Yes,1,408964,180964,Yes,Yes,No,No,Yes
2610,435000,Castellana,52,2,2,No,Yes,No,1,615527,180527,No,No,No,No,No
11041,1370000,Piovera,385,5,4,Yes,No,Yes,0,1550000,180000,Yes,Yes,Yes,Yes,No
4347,525000,Sol,91,3,1,No,Yes,No,2,702972,177972,No,No,No,No,Yes
5500,264000,Pueblo Nuevo,105,3,1,No,Yes,No,1,441508,177508,No,Yes,No,No,Yes
1755,221000,Universidad,57,1,1,No,Yes,No,0,397972,176972,No,No,No,No,Yes
4437,218500,Embajadores,53,1,1,No,Yes,No,0,394761,176261,No,No,No,No,No
3320,395000,Goya,50,2,2,No,Yes,No,3,570478,175478,No,No,No,No,No
766,215000,Prosperidad,54,0,1,No,Yes,No,-1,389687,174687,No,Yes,No,No,Yes
4436,275000,Atocha,65,2,1,No,Yes,No,1,448724,173724,No,No,No,No,No
4424,195000,Embajadores,40,1,1,No,Yes,No,1,368641,173641,No,No,No,No,Yes
11677,365000,Aluche,125,3,2,No,Yes,No,13,536048,171048,Yes,No,No,No,Yes
11407,350000,Delicias,111,3,2,No,Yes,No,4,517947,167947,No,No,No,No,Yes
